NUM,NAME,MAGICIAN,CATEGORY
458,Stars of Magic - Vol 2,Paul Harris,MISC
459,Unexpected Upjog,Doc Docherty,CARDS
460,The Corner Project,G,MISC
461,Nothing,Max Maven,MENTALISM
462,Cartier,David Jade,CARDS
463,Liquify,Automatic Mystery,MENTALISM
464,Invisible touch,Lior Manor,MENTALISM
465,Dingle's Delights,Derek Dingle,MISC
466,The Pass Professional,Kammagic shop,CARDS
467,Uzumaki,Dan and Dave,CARDS
468,Totally Control,Rudy Hunters,CARDS
469,"Close up Artistry - Vol 1, 2, 3 & 4",Rene Lavand,CARDS
470,Gamblers Wildest Dream,Reed Mcclintock,CARDS
471,Card through window,John Kennedy,CARDS
472,Technique Master,Ichiro Araki,MISC
473,On the Spot -Vol 1 & 2,Gregory Wilson,MISC
474,Shudder,Dee Christoper,ILLUSIONS
475,Undecided,Yoann,CARDS
476,Click Change,MISC,CARDS
477,Venus Trap,Chris Brown,CARDS
478,Mystery Deck,Irving Quant,CARDS
479,Invisible Deck,Oz Pearlman,CARDS
480,XCM Collections,Bone Ho,CARDS
481,Refraction,David Penn,ILLUSIONS
482,The Party Animal,Simon Lovell,MISC
483,Vector,Patrick Kun,CARDS
484,Invisible Hand - vol 1,Michael,MISC
485,Sankey-Tised,Jay Sankey,MISC
486,Smoke & Mirrors,John Bannon,CARDS
487,World's Greatest Magic - Ambitious Card,L & L,CARDS
488,Subtle concepts - Vol 1 & 2,Jo Sevau,CARDS
489,Cherry Control,Ricky Smith,CARDS
490,Spirit Magic,Eugene Burger,MENTALISM
491,Spontaneous Combustion,Jay Sankey,MISC
492,Movin Tanline,Nathan Kranzo,STREET MAGIC
493,Identity,Richard Sanders,CARDS
494,Original Card Shooting,Juliana chen,CARDS
495,Thoughtless,Peter Nardi,CARDS
496,Lazy Raise,Chris Mayhew,CARDS
497,Down Fall,Dan Hauss,STREET MAGIC
498,Entrapment Gold II,Alakazam,CARDS
499,Orbinase Change,Chris Brown,CARDS
500,Surge,Patrick Kunvatanagarn,CARDS
501,Svengali Control,Chad Nelson,CARDS
502,"Tabary Elegant Rope Magic, Vol - 2",Tabary,ROPE
503,Window,David Stone,STREET MAGIC
504,X-OR,Heavenz Kool,COINS
505,Illumni8,Mike Hankins,MOBILE
506,Modern Marvels  Vol 1,Mel Mellers,CONJURING
507,In Action -Vol 1 to 3,Gregory Wilson,CARDS
508,Simply Sydney,Syd Regal,CARDS
509,Sunk,Seth Rovner,CARDS
510,Mind Control,Bill Abbott,MENTALISM
511,Cascade Control,Charlie Miller,CARDS
512,Groove Electric Switch,Doc Docherty,CARDS
513,Toolbox - Vol 1 to 6,Simon Lovell,CARDS
514,Hover Card,Ellusionist,CARDS
515,BetwixT,Helder,CARDS
516,The Other side of Illussions-Vol 1 & 2,Henry Evans,MISC
517,Reflections,Yigal Mesika,ILLUSIONS
518,Risk,Francesco Tensei,MENTALISM
519,Centerpoint,MISC,CARDS
520,Flick Drift,Wayne Fox,MISC
521,This is Mentalism,Rich Ferguson,MENTALISM
522,SpringBoard,Jesse Feinberg,CARDS
523,The Odd Card,Lennart Green,CARDS
524,Who's afraid of Invisible Thread,Jon Lecair,IT
525,The Synchronocity Pack,Mark Paul,CARDS
526,Cutting Edge Cards and Coins,MISC,CARDS
527,Business Card-iographic,MISC,CARDS
528,Advanced card control  vol 7,Allan Ackerman,CARDS
529,4 on the floor,Justin Miller,CARDS
530,Gaft Card,Syd Segal,CARDS
531,Card Bend,MISC,CARDS
532,Ishkabibble Sandwich,Eric Jones,CARDS
533,Infusion,Andrew Mayne,ILLUSIONS
534,Bullseye,MISC,CARDS
535,Camcon transpo,Paul Wilson,CARDS
536,Triple Impact,Matt Ellison,CARDS
537,Prime cut,Bob Kohler,CARDS
538,International Magic,Juan Tamariz,MISC
539,Jesters,Aldo Colombini,CARDS
540,Hands Off (ACAAN),Patrick Redford,CARDS
541,GrassHopper Cards,Aldo Colombini,CARDS
542,Elegy Shift,MISC,CARDS
543,David Penn - Lecture,David Penn,LECTURE
544,Cyril Takayama Specials - Vol 1 to 11,MISC,PERFORMANCE
545,Blur,Jay Grill,CARDS
546,Blank,Kenton knepper,CARDS
547,Backdraft,Cameron Francis,CARDS
548,Reality is Plastic,Anthony Jacquin,HYPNOTISM
549,Card Rarities,Paul Gordon,CARDS
550,Simon Lovell and Mike austin,Simon Lovell,MISC
551,Mirror Force,Patrick Kun,CARDS
552,Rewind,Micahel Chatelain,CARDS
553,Triad,Bill Goodwin,CARDS
554,Departure,Magic Smith,ILLUSIONS
555,Flaunt Card rise,MISC,CARDS
556,Manipulation without tears,Jeff mcbride,MISC
557,Pappa Rabit,Daryl,SPONGE BALLS
558,Razor Blade Magic,MISC,ILLUSIONS
559,Twists of Fate,Paul Wilson,CARDS
560,Illusion thro expectation,Alex Moffat,MISC
561,Passport,David Regal,MISC
562,Digital conviction,Robert Smith,MOBILE
563,Master File vol 1 to 4,Lennart Green,CARDS
564,Mental Epic Pad,Marc Oberon,MENTALISM
565,Serial Biller,Richard Ferguson,MENTALISM
566,B4 Cut,Andrei Jikh,CARDS
567,Miracles The magic of james swain - Vol 1 to 4,James Swain,MISC
568,Catapult - Vol 1 & 2,Brian Platt,MISC
569,The Exciting World of Magic - Vol 1 & 2,Michael Ammar,MISC
570,Just Passing through,Russ Niedzwiecki,BILLS
571,Stand up Comedy Magic,Rich Marotta,MISC
